MTS793|MPT|ENU|1|2|.|/|:|1|0|0|A

Data Acquisition						Time:	9.8693848	Sec	5/17/2022 11:28:48 AM
Axial Force	Axial Displacement	Time
kN	mm	Sec
-0.21398719	-12.926737	0.09375
-0.19752663	-12.922474	0.094726563
-0.19752663	-12.922474	0.095703125
-0.19752663	-12.91821	0.096679688
-0.21398719	-12.922474	0.09765625
-0.21398719	-12.922474	0.098632813
-0.21398719	-12.922474	0.099609375
-0.19752663	-12.926737	0.10058594
-0.19752663	-12.91821	0.1015625
-0.18106608	-12.922474	0.10253906
-0.19752663	-12.922474	0.10351563
-0.19752663	-12.926737	0.10449219
-0.16460553	-12.926737	0.10546875
-0.18106608	-12.91821	0.10644531
-0.19752663	-12.91821	0.10742188
-0.19752663	-12.922474	0.10839844
-0.18106608	-12.91821	0.109375
-0.19752663	-12.922474	0.11035156
-0.18106608	-12.922474	0.11132813
-0.19752663	-12.922474	0.11230469
-0.18106608	-12.922474	0.11328125
-0.21398719	-12.91821	0.11425781
-0.21398719	-12.91821	0.11523438
-0.21398719	-12.926737	0.11621094
-0.21398719	-12.91821	0.1171875
-0.19752663	-12.91821	0.11816406
-0.19752663	-12.922474	0.11914063
-0.21398719	-12.926737	0.12011719
-0.19752663	-12.922474	0.12109375
-0.18106608	-12.91821	0.12207031
-0.19752663	-12.91821	0.12304688
-0.19752663	-12.922474	0.12402344
-0.21398719	-12.926737	0.125
-0.19752663	-12.922474	0.12597656
-0.19752663	-12.91821	0.12695313
-0.21398719	-12.922474	0.12792969
-0.21398719	-12.922474	0.12890625
-0.21398719	-12.922474	0.12988281
-0.21398719	-12.926737	0.13085938
-0.21398719	-12.922474	0.13183594
-0.23044774	-12.926737	0.1328125
-0.23044774	-12.922474	0.13378906
-0.21398719	-12.922474	0.13476563
-0.21398719	-12.926737	0.13574219
-0.21398719	-12.922474	0.13671875
-0.19752663	-12.922474	0.13769531
-0.21398719	-12.922474	0.13867188
-0.23044774	-12.926737	0.13964844
-0.21398719	-12.922474	0.140625
-0.23044774	-12.922474	0.14160156
-0.23044774	-12.922474	0.14257813
-0.23044774	-12.922474	0.14355469
-0.24690831	-12.91821	0.14453125
-0.24690831	-12.926737	0.14550781
-0.24690831	-12.926737	0.14648438
-0.24690831	-12.922474	0.14746094
-0.24690831	-12.922474	0.1484375
-0.24690831	-12.922474	0.14941406
-0.26336884	-12.922474	0.15039063
-0.24690831	-12.922474	0.15136719
-0.26336884	-12.91821	0.15234375
-0.21398719	-12.91821	0.15332031
-0.23044774	-12.922474	0.15429688
-0.23044774	-12.91821	0.15527344
-0.23044774	-12.922474	0.15625
-0.26336884	-12.922474	0.15722656
-0.24690831	-12.922474	0.15820313
-0.26336884	-12.926737	0.15917969
-0.27982941	-12.922474	0.16015625
-0.26336884	-12.922474	0.16113281
-0.27982941	-12.922474	0.16210938
-0.27982941	-12.922474	0.16308594
-0.27982941	-12.922474	0.1640625
-0.29628995	-12.922474	0.16503906
-0.27982941	-12.922474	0.16601563
-0.31275052	-12.922474	0.16699219
-0.27982941	-12.926737	0.16796875
-0.29628995	-12.922474	0.16894531
-0.29628995	-12.922474	0.16992188
-0.29628995	-12.926737	0.17089844
-0.29628995	-12.926737	0.171875
-0.31275052	-12.922474	0.17285156
-0.31275052	-12.926737	0.17382813
-0.31275052	-12.922474	0.17480469
-0.32921109	-12.926737	0.17578125
-0.34567162	-12.922474	0.17675781
-0.32921109	-12.91821	0.17773438
-0.34567162	-12.922474	0.17871094
-0.34567162	-12.931001	0.1796875
-0.37859273	-12.922474	0.18066406
-0.34567162	-12.922474	0.18164063
-0.37859273	-12.931001	0.18261719
-0.36213219	-12.922474	0.18359375
-0.36213219	-12.922474	0.18457031
-0.36213219	-12.926737	0.18554688
-0.37859273	-12.922474	0.18652344
-0.37859273	-12.926737	0.1875
-0.3950533	-12.922474	0.18847656
-0.3950533	-12.926737	0.18945313
-0.3950533	-12.931001	0.19042969
-0.41151384	-12.926737	0.19140625
-0.4279744	-12.926737	0.19238281
-0.41151384	-12.926737	0.19335938
-0.4279744	-12.931001	0.19433594
-0.44443494	-12.931001	0.1953125
-0.41151384	-12.926737	0.19628906
-0.44443494	-12.926737	0.19726563
-0.44443494	-12.922474	0.19824219
-0.44443494	-12.922474	0.19921875
-0.46089551	-12.926737	0.20019531
-0.46089551	-12.931001	0.20117188
-0.46089551	-12.926737	0.20214844
-0.47735608	-12.926737	0.203125
-0.47735608	-12.926737	0.20410156
-0.46089551	-12.922474	0.20507813
-0.47735608	-12.926737	0.20605469
-0.49381661	-12.91821	0.20703125
-0.49381661	-12.926737	0.20800781
-0.49381661	-12.931001	0.20898438
-0.52673775	-12.931001	0.20996094
-0.52673775	-12.926737	0.2109375
-0.54319829	-12.922474	0.21191406
-0.52673775	-12.926737	0.21289063
-0.55965883	-12.931001	0.21386719
-0.54319829	-12.926737	0.21484375
-0.55965883	-12.931001	0.21582031
-0.57611936	-12.926737	0.21679688
-0.55965883	-12.931001	0.21777344
-0.57611936	-12.926737	0.21875
-0.57611936	-12.926737	0.21972656
-0.57611936	-12.931001	0.22070313
-0.59257996	-12.931001	0.22167969
-0.59257996	-12.926737	0.22265625
-0.62550104	-12.926737	0.22363281
