MTS793|MPT|ENU|1|2|.|/|:|1|0|0|A

Data Acquisition						Time:	9.8605957	Sec	6/3/2021 8:35:48 AM
Axial Force	Axial Displacement	Time
kN	mm	Sec
-0.19333109	-25.972851	0.0859375
-0.19333109	-25.977114	0.086914063
-0.20820272	-25.977114	0.087890625
-0.20820272	-25.977114	0.088867188
-0.20820272	-25.972851	0.08984375
-0.17845948	-25.972851	0.090820313
-0.19333109	-25.977114	0.091796875
-0.19333109	-25.972851	0.092773438
-0.19333109	-25.977114	0.09375
-0.17845948	-25.981379	0.094726563
-0.19333109	-25.972851	0.095703125
-0.19333109	-25.972851	0.096679688
-0.17845948	-25.977114	0.09765625
-0.17845948	-25.977114	0.098632813
-0.20820272	-25.977114	0.099609375
-0.19333109	-25.972851	0.10058594
-0.17845948	-25.977114	0.1015625
-0.20820272	-25.977114	0.10253906
-0.20820272	-25.968588	0.10351563
-0.23794594	-25.972851	0.10449219
-0.19333109	-25.977114	0.10546875
-0.19333109	-25.972851	0.10644531
-0.19333109	-25.964323	0.10742188
-0.19333109	-25.977114	0.10839844
-0.19333109	-25.968588	0.109375
-0.17845948	-25.972851	0.11035156
-0.19333109	-25.977114	0.11132813
-0.20820272	-25.972851	0.11230469
-0.19333109	-25.977114	0.11328125
-0.20820272	-25.972851	0.11425781
-0.20820272	-25.972851	0.11523438
-0.19333109	-25.977114	0.11621094
-0.19333109	-25.977114	0.1171875
-0.20820272	-25.977114	0.11816406
-0.19333109	-25.981379	0.11914063
-0.20820272	-25.972851	0.12011719
-0.20820272	-25.972851	0.12109375
-0.19333109	-25.972851	0.12207031
-0.19333109	-25.972851	0.12304688
-0.20820272	-25.977114	0.12402344
-0.20820272	-25.977114	0.125
-0.20820272	-25.972851	0.12597656
-0.17845948	-25.977114	0.12695313
-0.19333109	-25.968588	0.12792969
-0.20820272	-25.972851	0.12890625
-0.16358787	-25.972851	0.12988281
-0.22307433	-25.977114	0.13085938
-0.20820272	-25.977114	0.13183594
-0.19333109	-25.972851	0.1328125
-0.22307433	-25.977114	0.13378906
-0.19333109	-25.977114	0.13476563
-0.17845948	-25.977114	0.13574219
-0.22307433	-25.977114	0.13671875
-0.20820272	-25.977114	0.13769531
-0.23794594	-25.972851	0.13867188
-0.20820272	-25.972851	0.13964844
-0.20820272	-25.977114	0.140625
-0.17845948	-25.977114	0.14160156
-0.20820272	-25.977114	0.14257813
-0.17845948	-25.977114	0.14355469
-0.17845948	-25.977114	0.14453125
-0.17845948	-25.977114	0.14550781
-0.20820272	-25.977114	0.14648438
-0.20820272	-25.972851	0.14746094
-0.22307433	-25.977114	0.1484375
-0.20820272	-25.977114	0.14941406
