MTS793|MPT|ENU|1|2|.|/|:|1|0|0|A

Data Acquisition						Time:	10.113525	Sec	6/3/2021 8:46:31 AM
Axial Force	Axial Displacement	Time
kN	mm	Sec
-0.17845948	-26.092226	0.33886719
-0.19333109	-26.092226	0.33984375
-0.19333109	-26.096491	0.34082031
-0.19333109	-26.092226	0.34179688
-0.17845948	-26.096491	0.34277344
-0.23794594	-26.100754	0.34375
-0.19333109	-26.096491	0.34472656
-0.22307433	-26.096491	0.34570313
-0.19333109	-26.092226	0.34667969
-0.20820272	-26.092226	0.34765625
-0.22307433	-26.096491	0.34863281
-0.19333109	-26.096491	0.34960938
-0.20820272	-26.096491	0.35058594
-0.20820272	-26.092226	0.3515625
-0.19333109	-26.087963	0.35253906
-0.20820272	-26.092226	0.35351563
-0.17845948	-26.092226	0.35449219
-0.20820272	-26.096491	0.35546875
-0.19333109	-26.096491	0.35644531
-0.19333109	-26.092226	0.35742188
-0.19333109	-26.092226	0.35839844
-0.20820272	-26.092226	0.359375
-0.19333109	-26.087963	0.36035156
-0.19333109	-26.096491	0.36132813
-0.19333109	-26.092226	0.36230469
-0.19333109	-26.087963	0.36328125
-0.20820272	-26.092226	0.36425781
-0.20820272	-26.100754	0.36523438
-0.22307433	-26.092226	0.36621094
-0.20820272	-26.092226	0.3671875
-0.22307433	-26.100754	0.36816406
-0.19333109	-26.092226	0.36914063
-0.19333109	-26.092226	0.37011719
-0.19333109	-26.096491	0.37109375
-0.19333109	-26.092226	0.37207031
-0.19333109	-26.096491	0.37304688
-0.22307433	-26.096491	0.37402344
-0.19333109	-26.096491	0.375
-0.20820272	-26.096491	0.37597656
-0.19333109	-26.096491	0.37695313
-0.20820272	-26.096491	0.37792969
-0.19333109	-26.096491	0.37890625
-0.19333109	-26.096491	0.37988281
-0.20820272	-26.092226	0.38085938
-0.19333109	-26.092226	0.38183594
-0.20820272	-26.096491	0.3828125
-0.22307433	-26.100754	0.38378906
-0.20820272	-26.096491	0.38476563
-0.20820272	-26.096491	0.38574219
-0.17845948	-26.096491	0.38671875
-0.17845948	-26.100754	0.38769531
-0.20820272	-26.096491	0.38867188
-0.17845948	-26.092226	0.38964844
-0.17845948	-26.096491	0.390625
-0.22307433	-26.100754	0.39160156
-0.19333109	-26.092226	0.39257813
-0.20820272	-26.096491	0.39355469
-0.20820272	-26.096491	0.39453125
-0.20820272	-26.100754	0.39550781
-0.20820272	-26.096491	0.39648438
-0.19333109	-26.092226	0.39746094
-0.19333109	-26.100754	0.3984375
-0.20820272	-26.096491	0.39941406
-0.19333109	-26.092226	0.40039063
-0.22307433	-26.092226	0.40136719
-0.19333109	-26.092226	0.40234375
-0.20820272	-26.096491	0.40332031
-0.19333109	-26.096491	0.40429688
-0.19333109	-26.096491	0.40527344
-0.19333109	-26.096491	0.40625
-0.17845948	-26.092226	0.40722656
-0.22307433	-26.096491	0.40820313
-0.20820272	-26.092226	0.40917969
-0.20820272	-26.092226	0.41015625
-0.19333109	-26.096491	0.41113281
-0.20820272	-26.096491	0.41210938
-0.19333109	-26.087963	0.41308594
-0.20820272	-26.092226	0.4140625
-0.22307433	-26.096491	0.41503906
-0.22307433	-26.092226	0.41601563
-0.20820272	-26.092226	0.41699219
-0.22307433	-26.096491	0.41796875
-0.20820272	-26.092226	0.41894531
-0.19333109	-26.087963	0.41992188
-0.19333109	-26.092226	0.42089844
-0.19333109	-26.096491	0.421875
-0.20820272	-26.092226	0.42285156
-0.19333109	-26.092226	0.42382813
-0.19333109	-26.096491	0.42480469
-0.19333109	-26.092226	0.42578125
-0.17845948	-26.096491	0.42675781
-0.19333109	-26.096491	0.42773438
-0.20820272	-26.092226	0.42871094
-0.17845948	-26.096491	0.4296875
-0.19333109	-26.096491	0.43066406
-0.20820272	-26.096491	0.43164063
-0.20820272	-26.092226	0.43261719
-0.19333109	-26.092226	0.43359375
-0.22307433	-26.092226	0.43457031
-0.19333109	-26.096491	0.43554688
-0.19333109	-26.096491	0.43652344
-0.19333109	-26.100754	0.4375
-0.19333109	-26.092226	0.43847656
-0.20820272	-26.096491	0.43945313
-0.22307433	-26.096491	0.44042969
-0.20820272	-26.096491	0.44140625
-0.19333109	-26.100754	0.44238281
-0.19333109	-26.092226	0.44335938
-0.20820272	-26.096491	0.44433594
-0.20820272	-26.096491	0.4453125
-0.17845948	-26.092226	0.44628906
-0.19333109	-26.096491	0.44726563
-0.23794594	-26.092226	0.44824219
-0.16358787	-26.096491	0.44921875
-0.20820272	-26.092226	0.45019531
-0.20820272	-26.092226	0.45117188
-0.20820272	-26.096491	0.45214844
-0.19333109	-26.096491	0.453125
-0.17845948	-26.092226	0.45410156
-0.19333109	-26.096491	0.45507813
-0.19333109	-26.087963	0.45605469
-0.17845948	-26.096491	0.45703125
-0.20820272	-26.096491	0.45800781
-0.19333109	-26.092226	0.45898438
-0.17845948	-26.092226	0.45996094
-0.20820272	-26.096491	0.4609375
-0.20820272	-26.096491	0.46191406
-0.20820272	-26.087963	0.46289063
-0.19333109	-26.096491	0.46386719
-0.20820272	-26.096491	0.46484375
-0.19333109	-26.092226	0.46582031
-0.20820272	-26.100754	0.46679688
-0.19333109	-26.092226	0.46777344
-0.19333109	-26.092226	0.46875
-0.20820272	-26.092226	0.46972656
-0.19333109	-26.100754	0.47070313
-0.19333109	-26.096491	0.47167969
-0.20820272	-26.100754	0.47265625
-0.20820272	-26.096491	0.47363281
-0.22307433	-26.096491	0.47460938
-0.20820272	-26.096491	0.47558594
-0.17845948	-26.096491	0.4765625
-0.19333109	-26.087963	0.47753906
-0.19333109	-26.096491	0.47851563
-0.20820272	-26.096491	0.47949219
-0.20820272	-26.096491	0.48046875
-0.20820272	-26.096491	0.48144531
-0.20820272	-26.092226	0.48242188
-0.20820272	-26.092226	0.48339844
-0.22307433	-26.096491	0.484375
-0.20820272	-26.096491	0.48535156
-0.19333109	-26.092226	0.48632813
-0.19333109	-26.096491	0.48730469
-0.19333109	-26.092226	0.48828125
-0.19333109	-26.096491	0.48925781
-0.20820272	-26.100754	0.49023438
-0.22307433	-26.100754	0.49121094
-0.19333109	-26.096491	0.4921875
-0.20820272	-26.092226	0.49316406
-0.22307433	-26.096491	0.49414063
-0.19333109	-26.092226	0.49511719
-0.22307433	-26.096491	0.49609375
-0.20820272	-26.096491	0.49707031
-0.20820272	-26.096491	0.49804688
-0.20820272	-26.096491	0.49902344
-0.19333109	-26.092226	0.5
