MTS793|MPT|ENU|1|2|.|/|:|1|0|0|A

Data Acquisition						Time:	9.8525391	Sec	6/3/2021 9:25:29 AM
Axial Force	Axial Displacement	Time
kN	mm	Sec
-0.20820272	-26.105017	0.077392578
-0.19333109	-26.105017	0.078369141
-0.20820272	-26.105017	0.079345703
-0.20820272	-26.109282	0.080322266
-0.20820272	-26.105017	0.081298828
-0.20820272	-26.109282	0.082275391
-0.19333109	-26.105017	0.083251953
-0.20820272	-26.109282	0.084228516
-0.19333109	-26.113544	0.085205078
-0.19333109	-26.109282	0.086181641
-0.19333109	-26.109282	0.087158203
-0.17845948	-26.109282	0.088134766
-0.20820272	-26.109282	0.089111328
-0.20820272	-26.109282	0.090087891
-0.20820272	-26.105017	0.091064453
-0.19333109	-26.109282	0.092041016
-0.20820272	-26.105017	0.093017578
-0.17845948	-26.113544	0.093994141
-0.20820272	-26.105017	0.094970703
-0.19333109	-26.105017	0.095947266
-0.20820272	-26.105017	0.096923828
-0.20820272	-26.113544	0.097900391
-0.19333109	-26.105017	0.098876953
-0.20820272	-26.109282	0.099853516
-0.19333109	-26.109282	0.10083008
-0.20820272	-26.109282	0.10180664
-0.19333109	-26.105017	0.1027832
-0.19333109	-26.100754	0.10375977
-0.19333109	-26.113544	0.10473633
-0.20820272	-26.105017	0.10571289
-0.20820272	-26.105017	0.10668945
-0.19333109	-26.109282	0.10766602
-0.19333109	-26.105017	0.10864258
-0.20820272	-26.117807	0.10961914
-0.19333109	-26.109282	0.1105957
-0.19333109	-26.100754	0.11157227
-0.20820272	-26.109282	0.11254883
-0.19333109	-26.105017	0.11352539
-0.20820272	-26.105017	0.11450195
-0.22307433	-26.105017	0.11547852
-0.19333109	-26.109282	0.11645508
-0.20820272	-26.105017	0.11743164
-0.20820272	-26.105017	0.1184082
-0.20820272	-26.109282	0.11938477
-0.19333109	-26.109282	0.12036133
-0.19333109	-26.105017	0.12133789
-0.17845948	-26.109282	0.12231445
-0.20820272	-26.105017	0.12329102
-0.19333109	-26.113544	0.12426758
-0.20820272	-26.105017	0.12524414
-0.20820272	-26.109282	0.1262207
-0.20820272	-26.113544	0.12719727
-0.22307433	-26.109282	0.12817383
-0.20820272	-26.109282	0.12915039
-0.19333109	-26.105017	0.13012695
-0.19333109	-26.109282	0.13110352
-0.20820272	-26.109282	0.13208008
-0.20820272	-26.113544	0.13305664
-0.20820272	-26.109282	0.1340332
-0.19333109	-26.109282	0.13500977
-0.20820272	-26.113544	0.13598633
-0.20820272	-26.105017	0.13696289
-0.20820272	-26.109282	0.13793945
-0.19333109	-26.109282	0.13891602
-0.22307433	-26.105017	0.13989258
-0.17845948	-26.109282	0.14086914
-0.17845948	-26.109282	0.1418457
-0.19333109	-26.109282	0.14282227
-0.22307433	-26.113544	0.14379883
-0.20820272	-26.109282	0.14477539
-0.20820272	-26.105017	0.14575195
-0.20820272	-26.109282	0.14672852
-0.20820272	-26.109282	0.14770508
-0.22307433	-26.109282	0.14868164
-0.20820272	-26.109282	0.1496582
-0.20820272	-26.109282	0.15063477
-0.19333109	-26.109282	0.15161133
-0.20820272	-26.109282	0.15258789
-0.20820272	-26.109282	0.15356445
-0.20820272	-26.113544	0.15454102
-0.16358787	-26.109282	0.15551758
-0.19333109	-26.113544	0.15649414
-0.17845948	-26.113544	0.1574707
-0.19333109	-26.105017	0.15844727
-0.19333109	-26.109282	0.15942383
-0.19333109	-26.109282	0.16040039
-0.19333109	-26.100754	0.16137695
-0.17845948	-26.109282	0.16235352
-0.19333109	-26.105017	0.16333008
-0.19333109	-26.105017	0.16430664
-0.22307433	-26.109282	0.1652832
-0.19333109	-26.105017	0.16625977
-0.20820272	-26.105017	0.16723633
-0.19333109	-26.109282	0.16821289
-0.19333109	-26.100754	0.16918945
-0.19333109	-26.109282	0.17016602
-0.19333109	-26.113544	0.17114258
-0.19333109	-26.113544	0.17211914
-0.19333109	-26.105017	0.1730957
-0.20820272	-26.105017	0.17407227
-0.19333109	-26.109282	0.17504883
-0.20820272	-26.109282	0.17602539
-0.19333109	-26.109282	0.17700195
-0.20820272	-26.109282	0.17797852
-0.20820272	-26.109282	0.17895508
-0.19333109	-26.109282	0.17993164
-0.19333109	-26.105017	0.1809082
-0.19333109	-26.109282	0.18188477
-0.20820272	-26.105017	0.18286133
-0.20820272	-26.113544	0.18383789
-0.19333109	-26.105017	0.18481445
-0.19333109	-26.105017	0.18579102
-0.20820272	-26.105017	0.18676758
-0.17845948	-26.100754	0.18774414
-0.17845948	-26.109282	0.1887207
-0.20820272	-26.113544	0.18969727
-0.19333109	-26.105017	0.19067383
-0.17845948	-26.113544	0.19165039
-0.19333109	-26.105017	0.19262695
-0.20820272	-26.105017	0.19360352
-0.19333109	-26.109282	0.19458008
-0.20820272	-26.113544	0.19555664
-0.19333109	-26.105017	0.1965332
-0.17845948	-26.109282	0.19750977
-0.19333109	-26.105017	0.19848633
-0.22307433	-26.105017	0.19946289
-0.20820272	-26.109282	0.20043945
-0.20820272	-26.113544	0.20141602
