MTS793|MPT|ENU|1|2|.|/|:|1|0|0|A

Data Acquisition						Time:	9.8676758	Sec	6/17/2021 8:40:40 AM
Axial Force	Axial Displacement	Time
kN	mm	Sec
-0.19333091	-25.465502	0.093017578
-0.19333091	-25.456976	0.093994141
-0.19333091	-25.456976	0.094970703
-0.20820253	-25.461239	0.095947266
-0.19333091	-25.461239	0.096923828
-0.19333091	-25.456976	0.097900391
-0.20820253	-25.456976	0.098876953
-0.19333091	-25.465502	0.099853516
-0.19333091	-25.456976	0.10083008
-0.19333091	-25.461239	0.10180664
-0.22307415	-25.456976	0.1027832
-0.20820253	-25.461239	0.10375977
-0.19333091	-25.456976	0.10473633
-0.20820253	-25.456976	0.10571289
-0.19333091	-25.456976	0.10668945
-0.22307415	-25.456976	0.10766602
-0.20820253	-25.456976	0.10864258
-0.20820253	-25.461239	0.10961914
-0.19333091	-25.461239	0.1105957
-0.19333091	-25.461239	0.11157227
-0.19333091	-25.456976	0.11254883
-0.20820253	-25.461239	0.11352539
-0.20820253	-25.461239	0.11450195
-0.22307415	-25.461239	0.11547852
-0.20820253	-25.452711	0.11645508
-0.20820253	-25.465502	0.11743164
-0.20820253	-25.456976	0.1184082
-0.20820253	-25.456976	0.11938477
-0.20820253	-25.461239	0.12036133
-0.20820253	-25.456976	0.12133789
-0.22307415	-25.456976	0.12231445
-0.20820253	-25.461239	0.12329102
-0.20820253	-25.461239	0.12426758
-0.22307415	-25.461239	0.12524414
-0.20820253	-25.461239	0.1262207
-0.20820253	-25.456976	0.12719727
-0.19333091	-25.456976	0.12817383
-0.1784593	-25.452711	0.12915039
-0.20820253	-25.456976	0.13012695
-0.20820253	-25.456976	0.13110352
-0.22307415	-25.461239	0.13208008
-0.22307415	-25.456976	0.13305664
-0.22307415	-25.456976	0.1340332
-0.22307415	-25.456976	0.13500977
-0.20820253	-25.456976	0.13598633
-0.20820253	-25.456976	0.13696289
-0.20820253	-25.461239	0.13793945
-0.22307415	-25.456976	0.13891602
-0.23794577	-25.461239	0.13989258
-0.22307415	-25.461239	0.14086914
-0.23794577	-25.461239	0.1418457
-0.22307415	-25.461239	0.14282227
-0.23794577	-25.461239	0.14379883
-0.20820253	-25.456976	0.14477539
-0.20820253	-25.465502	0.14575195
-0.20820253	-25.461239	0.14672852
-0.23794577	-25.461239	0.14770508
-0.25281739	-25.456976	0.14868164
-0.25281739	-25.456976	0.1496582
-0.25281739	-25.461239	0.15063477
-0.23794577	-25.461239	0.15161133
-0.23794577	-25.456976	0.15258789
-0.25281739	-25.452711	0.15356445
-0.23794577	-25.456976	0.15454102
-0.25281739	-25.456976	0.15551758
-0.25281739	-25.461239	0.15649414
-0.26768899	-25.456976	0.1574707
-0.28256062	-25.456976	0.15844727
-0.26768899	-25.465502	0.15942383
-0.26768899	-25.461239	0.16040039
-0.23794577	-25.456976	0.16137695
-0.25281739	-25.456976	0.16235352
-0.25281739	-25.461239	0.16333008
-0.26768899	-25.461239	0.16430664
-0.28256062	-25.461239	0.1652832
-0.28256062	-25.461239	0.16625977
-0.29743221	-25.461239	0.16723633
-0.28256062	-25.461239	0.16821289
-0.29743221	-25.456976	0.16918945
-0.28256062	-25.456976	0.17016602
-0.29743221	-25.456976	0.17114258
-0.31230384	-25.461239	0.17211914
-0.31230384	-25.456976	0.1730957
-0.31230384	-25.465502	0.17407227
-0.31230384	-25.461239	0.17504883
-0.31230384	-25.465502	0.17602539
-0.31230384	-25.456976	0.17700195
-0.32717547	-25.461239	0.17797852
-0.31230384	-25.465502	0.17895508
-0.31230384	-25.465502	0.17993164
-0.31230384	-25.465502	0.1809082
-0.34204707	-25.465502	0.18188477
-0.31230384	-25.465502	0.18286133
-0.32717547	-25.465502	0.18383789
